Subject,Start Date,Start Time,End Date,End Time,All day Event,Description
ELECTIVA III  Aula: L302    Grupo: 1   ,09/03/2026,4:00:00 p.m.,09/03/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,09/03/2026,2:00:00 p.m.,09/03/2026,4:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,09/03/2026,8:00:00 a.m.,09/03/2026,10:00:00 a.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,10/03/2026,4:00:00 p.m.,10/03/2026,6:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,10/03/2026,7:00:00 a.m.,10/03/2026,10:00:00 a.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,10/03/2026,2:00:00 p.m.,10/03/2026,4:00:00 p.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,11/03/2026,4:00:00 p.m.,11/03/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,11/03/2026,2:00:00 p.m.,11/03/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA305    Grupo: 1   ,11/03/2026,10:00:00 a.m.,11/03/2026,12:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P214    Grupo: 3   ,11/03/2026,12:00:00 p.m.,11/03/2026,2:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,12/03/2026,2:00:00 p.m.,12/03/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,13/03/2026,7:00:00 a.m.,13/03/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,13/03/2026,4:00:00 p.m.,13/03/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,13/03/2026,12:00:00 p.m.,13/03/2026,2:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,13/03/2026,10:00:00 a.m.,13/03/2026,12:00:00 p.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,16/03/2026,4:00:00 p.m.,16/03/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,16/03/2026,2:00:00 p.m.,16/03/2026,4:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,16/03/2026,8:00:00 a.m.,16/03/2026,10:00:00 a.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,17/03/2026,4:00:00 p.m.,17/03/2026,6:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,17/03/2026,7:00:00 a.m.,17/03/2026,10:00:00 a.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,17/03/2026,2:00:00 p.m.,17/03/2026,4:00:00 p.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,18/03/2026,4:00:00 p.m.,18/03/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,18/03/2026,2:00:00 p.m.,18/03/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA305    Grupo: 1   ,18/03/2026,10:00:00 a.m.,18/03/2026,12:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P214    Grupo: 3   ,18/03/2026,12:00:00 p.m.,18/03/2026,2:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,19/03/2026,2:00:00 p.m.,19/03/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,20/03/2026,7:00:00 a.m.,20/03/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,20/03/2026,4:00:00 p.m.,20/03/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,20/03/2026,12:00:00 p.m.,20/03/2026,2:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,20/03/2026,10:00:00 a.m.,20/03/2026,12:00:00 p.m.,FALSE,
